GENEID	Length
FBGN0051352	4280
FBGN0037734	3679
FBGN0016792	3190
FBGN0263477	159
FBGN0002431	9083
FBGN0262477	3826
FBGN0003886	1560
FBGN0037736	4429
FBGN0037737	1847
FBGN0085438	2214
FBGN0051415	720
FBGN0037739	1519
FBGN0005777	2509
FBGN0037741	3376
FBGN0037742	1452
FBGN0037743	2527
FBGN0037744	1410
FBGN0266720	1846
FBGN0037746	2281
FBGN0024330	2121
FBGN0037747	1506
FBGN0037749	956
FBGN0037750	2184
FBGN0037751	2652
FBGN0261599	1007
FBGN0086663	140
FBGN0051514	3175
FBGN0037753	1695
FBGN0002868	700
FBGN0037754	3431
FBGN0037755	2059
FBGN0037756	1384
FBGN0037757	3515
FBGN0037758	3180
FBGN0037759	2069
FBGN0037760	5638
FBGN0264827	1602
FBGN0037761	990
FBGN0037762	933
FBGN0037763	980
FBGN0037764	901
FBGN0037765	900
FBGN0262104	621
FBGN0267440	870
FBGN0085331	825
FBGN0262105	680
FBGN0037766	4539
FBGN0267336	15711
FBGN0266389	560
FBGN0037770	3071
FBGN0045473	1194
FBGN0037772	2299
FBGN0037773	1311
FBGN0053208	16335
FBGN0051407	900
FBGN0027524	1102
FBGN0037777	770
FBGN0037778	1512
FBGN0037779	1002
FBGN0037780	2061
FBGN0037781	1248
FBGN0265081	1156
FBGN0051410	661
FBGN0037782	661
FBGN0037783	708
FBGN0266732	1240
FBGN0053629	534
FBGN0053630	639
FBGN0053631	588
FBGN0053783	495
FBGN0053784	552
FBGN0041105	2454
FBGN0037786	1486
FBGN0266414	1937
FBGN0262378	92
FBGN0263413	7596
FBGN0262419	100
FBGN0262459	99
FBGN0028734	4839
FBGN0037788	2376
FBGN0266721	1002
FBGN0051477	490
FBGN0001321	2674
FBGN0267705	1822
FBGN0004889	5059
FBGN0037792	3504
FBGN0261817	359
FBGN0086359	3610
FBGN0085332	420
FBGN0037794	2006
FBGN0040238	3314
FBGN0037796	2507
FBGN0004575	5803
FBGN0025879	1591
FBGN0037797	855
FBGN0037798	1060
FBGN0083943	611
FBGN0261928	11033
FBGN0037801	3197
FBGN0037802	1114
FBGN0040078	1659
FBGN0262617	13227
FBGN0011970	82
FBGN0037807	2601
FBGN0266717	15702
FBGN0037809	1001
FBGN0037810	4875
FBGN0037811	2407
FBGN0037812	660
FBGN0051406	1010
FBGN0015396	3860
FBGN0020379	5557
FBGN0266243	1459
FBGN0259938	5092
FBGN0045443	1630
FBGN0037814	3628
FBGN0262223	91
FBGN0262420	68
FBGN0024957	2901
FBGN0037815	819
FBGN0037816	1829
FBGN0037817	1621
FBGN0266244	1051
FBGN0266260	2592
FBGN0267136	1815
FBGN0001235	11839
FBGN0263547	129
FBGN0264788	6412
FBGN0037818	1377
FBGN0037819	1165
FBGN0265161	976
FBGN0262717	5370
FBGN0020385	3481
FBGN0037822	1507
FBGN0051391	1704
FBGN0051467	1694
FBGN0037824	487
FBGN0051278	883
FBGN0051373	721
FBGN0037826	1661
FBGN0037827	1104
FBGN0037828	681
FBGN0004841	3223
FBGN0037829	1749
FBGN0051272	2102
FBGN0266371	1202
FBGN0051390	901
FBGN0266372	650
FBGN0037831	4087
FBGN0010421	1118
FBGN0266446	3347
FBGN0266451	1020
FBGN0266448	1925
FBGN0037832	1005
FBGN0261356	1126
FBGN0261380	1356
FBGN0260944	1528
FBGN0037834	1528
FBGN0017577	2452
FBGN0037835	740
FBGN0037836	8671
FBGN0037837	2630
FBGN0037838	2022
FBGN0261053	7321
FBGN0259740	634
FBGN0037841	866
FBGN0037842	1017
FBGN0037843	1503
FBGN0037844	1260
FBGN0037845	1369
FBGN0037846	1962
FBGN0267376	3121
FBGN0037848	1791
FBGN0011768	1337
FBGN0037849	2357
FBGN0022359	1346
FBGN0266705	889
FBGN0037850	1116
FBGN0037852	2161
FBGN0037853	1642
FBGN0037856	3180
FBGN0042094	1522
FBGN0037855	3115
FBGN0267137	703
FBGN0267138	597
FBGN0037857	1408
FBGN0267121	612
FBGN0083950	7339
FBGN0267671	824
FBGN0266245	889
FBGN0263403	937
FBGN0267139	505
FBGN0037860	983
FBGN0040256	1671
FBGN0037862	2566
FBGN0261291	826
FBGN0040251	2556
FBGN0040257	1595
FBGN0040259	1994
FBGN0027584	2098
FBGN0040253	1584
FBGN0040255	1739
FBGN0026314	1672
FBGN0026315	1781
FBGN0040250	1737
FBGN0040252	2032
FBGN0037870	810
FBGN0261808	3253
FBGN0037873	906
FBGN0037874	1652
FBGN0037875	2003
FBGN0086472	857
FBGN0037876	1187
FBGN0037877	1909
FBGN0037878	1372
FBGN0020910	2231
FBGN0086055	85
FBGN0051144	559
FBGN0086056	84
FBGN0065064	220
FBGN0086057	93
FBGN0037879	1109
FBGN0037880	1409
FBGN0037881	2322
FBGN0037882	1263
FBGN0037883	487
FBGN0037884	2004
FBGN0037885	880
FBGN0051441	1223
FBGN0051388	1562
FBGN0037888	898
FBGN0037889	873
FBGN0037890	1317
FBGN0037891	1817
FBGN0262972	8398
FBGN0051386	2763
FBGN0266415	507
FBGN0004595	24892
FBGN0267672	757
FBGN0026064	4988
FBGN0026063	4988
FBGN0267673	776
FBGN0267674	496
FBGN0037892	716
FBGN0264694	946
FBGN0011774	2149
FBGN0263480	150
FBGN0037894	3311
FBGN0037895	1990
FBGN0267236	411
FBGN0037896	1937
FBGN0037897	7465
FBGN0037898	528
FBGN0037899	773
FBGN0037900	1752
FBGN0037901	1947
FBGN0037902	1613
FBGN0051374	3720
FBGN0046225	3785
FBGN0263520	115
FBGN0037906	1775
FBGN0267141	440
FBGN0037908	1864
FBGN0053512	2994
FBGN0266416	779
FBGN0037910	725
FBGN0037911	1969
FBGN0037912	1949
FBGN0037913	2302
FBGN0263316	4726
FBGN0037915	2783
FBGN0037916	2601
FBGN0037917	2383
FBGN0037918	4451
FBGN0051363	2522
FBGN0037920	1458
FBGN0037921	3138
FBGN0037922	1319
FBGN0037923	1387
FBGN0042205	1378
FBGN0037924	4250
FBGN0262081	5985
FBGN0264986	1239
FBGN0037926	4315
FBGN0259227	5541
FBGN0037930	640
FBGN0037931	2946
FBGN0011290	1234
FBGN0037933	1123
FBGN0037934	2781
FBGN0037935	2886
FBGN0037936	1439
FBGN0042110	1241
FBGN0037937	836
FBGN0265271	1819
FBGN0037939	2107
FBGN0267675	796
FBGN0025821	887
FBGN0037940	654
FBGN0037941	3469
FBGN0037942	1311
FBGN0002906	4806
FBGN0037943	2063
FBGN0037944	5196
FBGN0262364	584
FBGN0017581	6807
FBGN0265276	6563
FBGN0267155	468
FBGN0037949	5206
FBGN0037950	1872
FBGN0025802	6782
FBGN0051116	5892
FBGN0259139	2258
FBGN0019624	796
FBGN0037955	1873
FBGN0037956	3050
FBGN0003312	1773
FBGN0037958	2492
FBGN0051368	4630
FBGN0037960	1952
FBGN0037962	939
FBGN0037963	7255
FBGN0085336	718
FBGN0037964	2062
FBGN0051211	2927
FBGN0013275	2382
FBGN0013276	2375
FBGN0260741	1870
FBGN0000147	1577
FBGN0260742	2841
FBGN0260743	1658
FBGN0260744	3673
FBGN0037970	1086
FBGN0037972	1171
FBGN0264984	539
FBGN0037973	1131
FBGN0037974	1628
FBGN0037975	1187
FBGN0260745	3518
FBGN0037976	1621
FBGN0260746	2236
FBGN0037978	2652
FBGN0037979	4040
FBGN0037980	1897
FBGN0037981	1395
FBGN0051358	3625
FBGN0260230	3446
FBGN0260231	3446
FBGN0037985	2384
FBGN0037986	2084
FBGN0037987	902
FBGN0037988	1600
FBGN0037989	7379
FBGN0051361	4475
FBGN0037992	1459
FBGN0011905	72
FBGN0037993	3490
FBGN0261714	2853
FBGN0037994	2232
FBGN0263404	281
FBGN0037995	1427
FBGN0051356	72
FBGN0037996	1861
FBGN0037998	4839
FBGN0037997	612
FBGN0037999	1393
FBGN0267676	592
FBGN0038000	1448
FBGN0038001	914
FBGN0038002	935
FBGN0263454	865
FBGN0038003	953
FBGN0011270	1085
FBGN0038005	1561
FBGN0038006	1577
FBGN0038007	1777
FBGN0264828	851
FBGN0267142	365
FBGN0038008	2406
FBGN0003651	5595
FBGN0264829	985
FBGN0264830	262
FBGN0267677	507
FBGN0264831	1383
FBGN0038009	411
FBGN0259975	396
FBGN0267678	329
FBGN0038011	1767
FBGN0051432	72
FBGN0038012	1690
FBGN0267144	657
FBGN0267143	904
FBGN0266246	693
FBGN0266261	700
FBGN0038013	1212
FBGN0038014	952
FBGN0038016	3864
FBGN0038017	1115
FBGN0065094	74
FBGN0038018	1014
FBGN0042206	876
FBGN0038020	786
FBGN0001149	843
FBGN0267679	490
FBGN0010038	734
FBGN0010039	746
FBGN0010040	725
FBGN0010041	840
FBGN0010042	780
FBGN0010043	756
FBGN0010044	808
FBGN0038028	1754
FBGN0038029	1121
FBGN0085431	2277
FBGN0053098	1244
FBGN0038032	5233
FBGN0038033	5233
FBGN0038034	2039
FBGN0038035	2604
FBGN0038037	1758
FBGN0038038	1576
FBGN0038039	2180
FBGN0000455	1951
FBGN0065087	59
FBGN0082831	6730
FBGN0038042	1194
FBGN0038043	777
FBGN0004103	2203
FBGN0038045	1194
FBGN0038046	1365
FBGN0038047	1623
FBGN0086134	920
FBGN0029512	1167
FBGN0038049	1355
FBGN0043043	1357
FBGN0038051	1323
FBGN0086687	2488
FBGN0038052	1328
FBGN0038053	2004
FBGN0038054	733
FBGN0038055	1746
FBGN0038056	1694
FBGN0038057	1652
FBGN0038058	2244
FBGN0013277	2324
FBGN0052865	1357
FBGN0051354	2347
FBGN0013278	2347
FBGN0013279	2386
FBGN0250910	6101
FBGN0028374	1033
FBGN0267680	1088
FBGN0038063	7519
FBGN0262383	100
