"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016241","GO:0016241","regulation of macroautophagy","74/5279","137/16438",8.73385993271852e-08,7.7344568175603e-06,6.44598263906503e-06,"ADRB2/AKT1/ATP6V0A1/ATP6V0B/ATP6V0C/ATP6V0D1/ATP6V0E2/ATP6V1A/ATP6V1B1/ATP6V1B2/ATP6V1C1/ATP6V1G1/ATP6V1G2/ATP6V1H/BAG3/BNIP3L/C9orf72/CAPN1/CAPNS1/CASP3/CDK5/CDK5R1/CHMP4A/CHMP4B/CLEC16A/CLN3/EHMT2/ERN1/EXOC4/EXOC7/EXOC8/FEZ1/FYCO1/GBA/HIF1A/HMOX1/HSPB8/HTT/IRGM/LARP1/MAPK3/MTOR/NOD2/NRBP2/NUPR1/OPTN/PHF23/PIP4K2B/PIP4K2C/POLDIP2/PRKAA2/PRKACA/RAB3GAP1/RALB/RIPK2/SCFD1/SESN2/SESN3/SMCR8/SNX32/SUPT5H/TBC1D25/TBK1/TMEM39A/TRIM13/TSC2/UBQLN4/UCHL1/VDAC1/VPS13D/VPS26A/VPS26B/VPS35/WAC",74
"GO:0043161","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","174/5279","389/16438",9.69168501832123e-08,8.46179653923568e-06,7.05215568123359e-06,"AGAP3/AKT1/AMN1/ANAPC10/ANAPC5/ANAPC7/ANKIB1/ARIH1/ARIH2/ARNTL/ASCC2/ATXN3/BAG6/BCAP31/BTRC/CAMLG/CAV1/CCNF/CDC16/CDC20/CHFR/CLGN/CLU/CSNK1D/CTNNB1/CUL1/CUL2/CUL4A/CUL4B/CUL5/DAB2/DCAF12/DDA1/DDB1/DDIT3/DERL1/DNAJB12/DNAJB14/DNAJB9/DVL1/EDEM1/EDEM3/EIF3H/ERLIN2/FAF2/FAM8A1/FBXL12/FBXL14/FBXL18/FBXL19/FBXL2/FBXL20/FBXL5/FBXO44/FBXO48/FBXO9/FBXW11/FBXW4/FBXW5/FBXW7/FEM1A/FEM1C/FHIT/FOXRED2/FZR1/GBA/GCLC/GLMN/GNA12/GSK3A/HACE1/HECTD1/HERPUD1/HSP90AB1/HSP90B1/HSPA1A/HSPA1B/HSPA5/HSPBP1/HUWE1/KAT5/KCTD17/KCTD5/KEAP1/KLHDC2/KLHDC3/KLHL15/MAEA/MAN1A1/MAP1A/MDM2/N4BP1/NEMF/NHLRC3/NKD2/NPLOC4/OGT/PARK7/PCBP2/PELI1/PLK1/PLK2/PLK3/PRICKLE1/PSMA2/PSMB3/PSMB5/PSMC2/PSMC3/PSMC4/PSMC5/PSMD1/PSMD10/PSMD14/PSMD2/PSMD6/PSMD8/PSMF1/RAD23A/RAD23B/RBCK1/RCHY1/RMND5A/RNF122/RNF14/RNF144A/RNF185/RNF187/RNF216/RNF4/RYBP/SDCBP/SGTA/SIRT2/SIRT6/SKP1/SKP2/SMARCC1/SOCS4/SPOPL/SPSB3/SVIP/TBL1XR1/TMUB1/TRIB2/TRIB3/TRIM13/TRIM25/TRIM3/UBE2A/UBE2C/UBE2G1/UBE2G2/UBE2H/UBE2J2/UBE4A/UBE4B/UBQLN4/UBXN11/UBXN2B/UCHL1/UCHL5/UFL1/USP14/USP19/USP5/USP7/VCP/WAC/WWP2/XPO1/YOD1/ZER1/ZFAND2B",174
"GO:0032259","GO:0032259","methylation","140/5279","302/16438",1.34672613904282e-07,1.15949379665645e-05,9.66335071699149e-06,"AASS/ALKBH8/ARID4A/ASH1L/ASH2L/ATF7IP/ATRX/AUTS2/BCOR/BEND3/BRCA1/BRD4/BTG1/BTG2/CARM1/CHTOP/COQ5/CTCF/CTCFL/CTNNB1/CTR9/DMAP1/DOT1L/DPH5/EHMT1/EHMT2/EMG1/EZH1/FBL/FBLL1/FOS/FTSJ1/FTSJ3/GATAD2A/GFI1/GSK3A/GTPBP3/HELLS/HEMK1/HSD17B10/ICMT/JARID2/KDM3A/KDM4A/LARP7/LCMT2/MBD2/MBD3/MECOM/MECP2/MEN1/MEPCE/METTL1/METTL13/METTL23/METTL2B/METTL3/METTL6/METTL7A/METTL7B/MLLT6/MTA2/MTAP/MTF2/MTHFR/MYB/MYC/NOP2/NR1H4/NSD1/NSUN2/NSUN5/NSUN6/OGT/PAF1/PARP1/PAXIP1/PCIF1/PCMTD1/PCMTD2/PHF19/PICK1/PIH1D1/PPM1D/PRDM11/PRDM13/PRDM15/PRDM2/PRDM4/PRDM8/PRMT1/PRMT2/PRMT3/PRMT5/PRMT7/PWP1/PYGO2/RAB3D/RBM15/RBM15B/RNF20/RTF1/SETD1A/SETD1B/SETD2/SETD3/SETD5/SETD6/SIRT7/SMARCB1/SMYD3/SMYD5/SNRPB/SNRPD3/SUPT6H/SUV39H1/SUZ12/TARBP1/TET1/TET2/TFB1M/THUMPD2/TRIM28/TRMT1/TRMT11/TRMT112/TRMT2B/TRMT61A/TYMS/TYW3/WDR4/WDR5/WDR5B/WDR6/WDR61/WDR82/ZC3H13/ZMPSTE24/ZNF274/ZNF335",140
"GO:0006338","GO:0006338","chromatin remodeling","91/5279","179/16438",1.38432485346006e-07,1.17553832419163e-05,9.79706760026242e-06,"ACTB/ACTL6A/ACTR5/ANP32B/ANP32E/ARID1B/ARID2/ASF1B/ATRX/BAZ1B/BRD2/CABIN1/CECR2/CENPV/CENPW/CHAF1A/CHAF1B/CHD4/CHD7/CHRAC1/CTCF/DAXX/DMAP1/DNAJC9/EZH1/GATAD1/GATAD2B/GRWD1/HCFC1/HCFC2/HDAC1/HELLS/HIRA/HJURP/HMGA1/HMGB2/HP1BP3/INO80/INO80E/IPO4/JARID2/KAT2A/KDM4A/KDM4B/KDM5C/KDM6B/MBD2/MBD3/MCM2/MCM3AP/MTA2/MYB/MYC/MYSM1/NAP1L1/NAP1L4/NUDT5/PAF1/PBRM1/PIH1D1/RBBP4/RERE/RUVBL1/RUVBL2/SART3/SET/SETD2/SMARCA1/SMARCA4/SMARCA5/SMARCAD1/SMARCB1/SMARCC1/SMARCD1/SMARCE1/SMYD3/SOX9/SPTY2D1/SRCAP/SUPT16H/SUPT6H/TADA2A/TADA2B/TAF6L/TOP1/TSPYL2/TSPYL4/UBN1/UBN2/ZBTB7A/ZNHIT1",91
"GO:0006446","GO:0006446","regulation of translational initiation","47/5279","77/16438",1.63134926973861e-07,1.36658569231212e-05,1.13892776897256e-05,"ALKBH1/CDC123/CSDE1/DDX1/EIF1/EIF1B/EIF2AK1/EIF2AK2/EIF2AK3/EIF2AK4/EIF2B2/EIF2B5/EIF3B/EIF3H/EIF4A2/EIF4B/EIF4EBP2/EIF4G1/EIF4G2/EIF4G3/EIF4H/EIF5/EIF5B/FMR1/GLE1/HSPB1/IMPACT/KHDRBS1/LARP1/METTL3/MIF4GD/MTOR/NCBP1/NCK1/PAIP1/PAIP2/PAIP2B/POLR2D/POLR2G/PPP1CA/PPP1R15A/PPP1R15B/RBM4/RPS6KB1/TMED2/YTHDF2/YTHDF3",47
"GO:0034976","GO:0034976","response to endoplasmic reticulum stress","116/5279","242/16438",1.82892849774306e-07,1.51167036766789e-05,1.25984295676111e-05,"AIFM1/ALOX5/ATF3/ATF6/ATG10/ATP2A2/ATXN3/BAG6/BAK1/BAX/BCAP31/BCL2L1/BCL2L11/BID/BRSK2/CAV1/CCND1/CDK5RAP3/CEBPB/CHAC1/CLGN/CLU/COPS5/CREB3/CREB3L1/CREB3L2/CTH/DAB2IP/DDIT3/DERL1/DNAJB12/DNAJB14/DNAJB9/EDEM1/EDEM3/EIF2AK2/EIF2AK3/EIF2AK4/EIF2B5/EIF4G1/ERLIN2/ERN1/ERP44/FAF2/FAM8A1/FBXO44/FGF21/FOXRED2/GET4/GRINA/HERPUD1/HERPUD2/HM13/HSP90B1/HSPA1A/HSPA5/ITPR1/JUN/LPCAT3/MAN1A1/MANF/MBTPS2/NCK1/NPLOC4/NUPR1/OPA1/PARK7/PDIA2/PDIA4/PDX1/PIK3R1/PMAIP1/PPP1R15A/PPP1R15B/PTPN1/PTPN2/QRICH1/RHBDD1/RNF185/RNFT2/SCAMP5/SEC16A/SERINC3/SERP1/SESN2/SGTA/SRPX/SVIP/TBL2/TMBIM6/TMCO1/TMED2/TMEM33/TMUB1/TMX1/TNFRSF10B/TRAF2/TRIB3/TRIM13/TRIM25/TXNDC12/UBE2G2/UBE2J2/UBE4A/UBE4B/UFC1/UFL1/UGGT2/USP13/USP14/USP19/USP25/VAPB/VCP/XBP1/YOD1",116
"GO:0006354","GO:0006354","DNA-templated transcription, elongation","47/5279","78/16438",2.82966923870001e-07,2.30804205403965e-05,1.92354800880051e-05,"ADRM1/ALYREF/ARID1B/BRD4/CCNK/CCNT2/CDK12/CDK9/CTDP1/CTNNB1/CTR9/ELL2/ELOF1/ELP2/ELP4/ENY2/ERCC2/ERCC3/GTF2F1/HEXIM1/HNRNPU/HTATSF1/LARP7/PADI2/PAF1/POLR1E/POLR2I/POU4F1/RECQL5/RNF168/RTF1/SERTAD1/SERTAD2/SETD2/SETD5/SMARCD1/SUPT16H/SUPT5H/SUPT6H/THOC1/TSFM/WDR43/WDR61/ZMIZ1/ZMIZ2/ZMYND11/ZNF326",47
"GO:0034248","GO:0034248","regulation of cellular amide metabolic process","208/5279","485/16438",2.92139140367372e-07,2.35190978069784e-05,1.96010786182236e-05,"ABCA2/ABCE1/ACO1/AKT1/AKT2/ALKBH1/APP/ASCC2/ATXN2/BCL3/BTG2/C1QBP/CAPRIN1/CAPRIN2/CASC3/CASP3/CDC123/CDK4/CELF1/CELF4/CIRBP/CLU/CNOT10/CNOT7/CPEB1/CPEB2/CPEB3/CPEB4/CSDE1/DAPK1/DCP1A/DCP2/DDX1/DDX6/DHFR/DHX9/DIO2/DNAJC1/DPH1/DPH2/DPH3/DPH5/EFNA1/EIF1/EIF1B/EIF2A/EIF2AK1/EIF2AK2/EIF2AK3/EIF2AK4/EIF2B2/EIF2B4/EIF2B5/EIF3B/EIF3H/EIF4A2/EIF4A3/EIF4B/EIF4EBP2/EIF4G1/EIF4G2/EIF4G3/EIF4H/EIF5/EIF5A/EIF5AL1/EIF5B/EIF6/ELAVL1/ENC1/EPHA4/ERBB2/EXOSC3/EXOSC5/EXOSC9/FMR1/FTO/FXR2/GEMIN5/GLE1/GSK3A/GUF1/HNRNPD/HNRNPR/HSPB1/IFNGR1/IGF2BP1/IGF2BP2/IGFBP5/ILF3/IMPACT/INPP5E/JMJD4/KBTBD8/KHDRBS1/KHSRP/LARP1/LARP4B/LARP6/LSM14A/LSM14B/MAPK1/MAPK3/MAPKAPK5/METTL3/MIF4GD/MKNK1/MLH1/MOV10/MTG1/MTOR/MTRF1/NAT10/NCBP1/NCK1/NCL/NEMF/NGDN/NGRN/NOD2/NOLC1/NR1H4/NSUN5/NTRK2/PA2G4/PABPC1/PAIP1/PAIP2/PAIP2B/PARN/PASK/PATL1/PCIF1/PDE12/PDK1/PDK2/PDK4/PER1/PER2/PGAM1/PLD1/POLDIP3/POLR2D/POLR2G/PPP1CA/PPP1R15A/PPP1R15B/PURA/PUS7/QKI/RBM24/RBM3/RBM4/RBM8A/RC3H1/RC3H2/RELA/RHOA/RMND1/ROCK1/RPL26/RPS27L/RPS6KB1/RPUSD4/RTN1/RTN2/RTN3/SAMD4A/SAMD4B/SAMD8/SARNP/SECISBP2/SERP1/SESN2/SHMT2/SLC2A13/SLC7A11/SORL1/SOX4/SP1/SPHK2/SPON1/STAT3/SYNCRIP/TACO1/TARBP2/TCOF1/TIA1/TMED2/TNRC6B/TOB1/TRAP1/TRNAU1AP/TRUB2/TSFM/TYMS/UNK/UPF1/VIM/XRN1/YBX1/YTHDF2/YTHDF3/ZC3H12A/ZFP36/ZFP36L1/ZNF385A/ZNF540",208
"GO:0016331","GO:0016331","morphogenesis of embryonic epithelium","76/5279","146/16438",4.32658399370322e-07,3.43852489448285e-05,2.86570502578885e-05,"ABL1/ALDH1A2/ALDH1A3/ARHGAP35/BBS4/BMP4/BRD2/CASP3/CECR2/CELSR1/CITED2/CTNNB1/DEAF1/DLC1/DVL1/DVL2/DVL3/EPB41L5/FGFR2/GDF7/GDNF/GLI2/GLMN/GRSF1/HECTD1/HES5/HIF1A/IFT122/IFT52/KAT2A/KDM2B/LAMA5/LMO4/LRP2/MED12/MIB1/MTHFD1/MTHFD1L/MTHFR/NOG/NPHP3/OPA1/PDX1/PFN1/PRICKLE1/PRKACA/PRKACB/RARG/RGMA/SCRIB/SDC4/SEMA4C/SETD2/SFRP1/SIX1/SIX4/SKI/SOX4/SOX8/SOX9/STIL/STK3/STK4/SUFU/SULF1/TCTN1/TFAP2A/TGFB1/TMED2/TRAF6/TSC2/TULP3/TWIST1/VASP/VEGFC/WNT7B",76
"GO:0019439","GO:0019439","aromatic compound catabolic process","187/5279","431/16438",4.48626781923516e-07,3.52030053309352e-05,2.933857755737e-05,"ABCC2/ACOT7/ADA/AFMID/AHCY/AIFM1/AKT1/ALDH1L1/ALDH1L2/ALKBH5/ANGEL2/APEX1/APOBEC3F/APOBEC3G/BAX/BLVRB/BTG2/CARHSP1/CASC3/CDADC1/CECR2/CELF1/CIRBP/CNOT10/CNOT7/CNP/CPEB3/CSDE1/DCP1A/DCP2/DCTPP1/DDX49/DDX5/DFFB/DHX34/DHX9/DICER1/DIO2/DIS3L/DKC1/DNA2/DNASE1L1/DPYD/E2F1/EDC3/EDC4/EIF4A3/ELAVL1/ENPP4/ENTPD4/ENTPD6/ENTPD7/EPHX2/ERN1/EXOSC10/EXOSC3/EXOSC5/EXOSC6/EXOSC9/FASTK/FASTKD5/FEN1/FHIT/FMR1/FTO/FUS/FXR2/GDNF/GRSF1/GSK3A/GTPBP1/HINT1/HMOX1/HMOX2/HNRNPA0/HNRNPD/HNRNPM/HNRNPR/HNRNPU/HPRT1/HSF1/HSPA1A/HSPA1B/IGF2BP1/KCNQ1OT1/KHSRP/LARP1/LARP4B/LSM2/LSM4/LSM5/LSM6/LSM7/MAOA/MAPKAPK2/METTL3/MGAT1/MLH1/MOV10/MOXD1/MRPL44/MRTO4/MTOR/MUS81/NCBP1/NSUN2/NT5C2/NT5E/NTHL1/NUDT1/NUDT10/NUDT11/NUDT16/NUDT19/NUDT5/OGG1/PABPC1/PABPC4/PAIP1/PARN/PATL1/PDE12/PDE4D/PDE5A/PDE8B/PDE9A/PDXP/PHAX/PNP/POLR2D/POLR2G/POP1/PPP1R8/PRKCA/PRR5L/QDPR/RBM10/RBM24/RBM8A/RC3H1/RC3H2/REXO4/RNASEH2A/RNASEH2B/RNASEH2C/RNH1/RNPS1/ROCK1/SAMD4A/SAMD4B/SAMHD1/SECISBP2/SIDT2/SLIRP/SMG5/SMG6/SMG7/SMG8/SMG9/SMPDL3A/SUPV3L1/SYNCRIP/TBRG4/TDG/TET1/TET2/TIRAP/TNRC6B/TOB1/TRAF2/TRAF5/UPF1/UPP1/VCP/VIM/XRN1/XRN2/YBX1/YTHDF2/YTHDF3/ZC3H12A/ZC3H14/ZC3H18/ZC3HAV1/ZFP36/ZFP36L1/ZHX2",187
"GO:0034504","GO:0034504","protein localization to nucleus","129/5279","279/16438",4.92845874368795e-07,3.8189394690152e-05,3.18274677816058e-05,"AKT1/ARL2BP/BAG3/BBS4/BCL3/BMP4/BYSL/CCT2/CCT3/CCT5/CCT6A/CCT7/CDH1/CDK5/CDK5RAP3/CDKN1A/CHP2/CIZ1/CRY2/CSE1L/CTDNEP1/DKC1/DMAP1/DVL1/EIF2AK3/ELAVL1/FERMT1/GBP2/GLIS2/GLUL/HNRNPU/HSP90AB1/HYAL2/ING1/IPO11/IPO13/IPO4/IPO5/IPO7/IPO8/IPO9/KPNA1/KPNA2/KPNA6/KPNB1/LARP7/LATS2/LIF/LIMK2/MAGED1/MAPK1/MAVS/MCRS1/MDFIC/MDM2/MED1/MEPCE/MORC3/MSX1/NF2/NMD3/NOL8/NOLC1/NUP107/NUP133/NUP188/NUP214/NUP50/NUP54/NUP85/NUP88/NUP93/NUP98/NUTF2/NXT1/NXT2/PAF1/PARK7/PARP1/PIK3R1/PKIG/PLK1/PLRG1/POLR1A/POM121/POM121C/POM121L2/PPP3R1/PRICKLE1/PTTG1IP/RAB23/RAN/RANBP6/RANGAP1/RANGRF/RBM22/RRS1/SEC13/SESN2/SIN3A/SIX1/SIX4/SKP1/SNUPN/SOX9/STAT3/SUFU/SUMO3/SUN2/SYK/SYNE1/TAF8/TFRC/TGFB1/TMEM98/TNPO1/TNPO2/TNPO3/TRIM28/TRIM29/TRIM8/TSC2/TXNIP/XPA/XPO1/YAP1/YWHAE/ZBTB7A/ZC3H12A",129
"GO:0010563","GO:0010563","negative regulation of phosphorus metabolic process","182/5279","419/16438",5.81507025233155e-07,4.4223420116877e-05,3.68562919203662e-05,"ABCA2/ABL1/ADAR/ADARB1/AIDA/AKT1/AKT1S1/ANKLE2/APOC1/ARPP19/ATG14/BAK1/BAX/BDKRB2/BMP2/BMP4/BOD1/C9orf72/CALM1/CALM2/CALM3/CAMK2N1/CASP3/CAV1/CCNB1/CDK5RAP3/CDKN1A/CDKN1C/CDKN2B/CEP85/CHMP6/CNKSR3/CORO1C/CRY2/CSK/CTDSP1/CTDSP2/DAB2IP/DDIT4/DEPTOR/DUSP10/DUSP3/DUSP7/DVL1/EIF4G1/ENSA/EPHB2/FBLN1/FBXO7/FKBP1A/FKBP1B/GADD45A/GADD45B/GBA/GIT1/GNAI2/GNAQ/GPD1L/GSK3A/HEG1/HEXIM1/HIPK3/HNRNPU/HSPB1/HYAL2/IMPACT/INHBA/INPP5J/INPP5K/INSM1/IPO5/IPO7/ITGB1BP1/LATS2/LPCAT1/LRP1/LRP6/MAPT/MASTL/MEN1/MICAL1/MIDN/MLLT1/MTOR/MVP/MYADM/NCAPG2/NCK1/NF2/NNT/NOG/NR2F2/NUPR1/OCLN/PAK2/PARD6A/PARK7/PARP1/PDE4D/PDGFA/PDPK1/PIBF1/PIK3CB/PIK3IP1/PIP4K2B/PIP4K2C/PKIB/PKIG/PKN1/PLEC/PLK1/PPARA/PPARG/PPARGC1A/PPIA/PPM1F/PPP1R11/PPP1R15A/PPP1R15B/PPP1R16B/PPP1R8/PPP1R9B/PPP2CA/PPP2R1A/PPP2R5D/PPP4R4/PPP5C/PRDX3/PRKAR1A/PRKAR1B/PRKAR2A/PRKAR2B/PRR5L/PTPN1/PTPN2/PTPN6/PTPRJ/PWP1/RASSF2/ROCK1/SFN/SFRP1/SH3BP5L/SIRT2/SLC27A1/SLC8A1/SLIT2/SMAD6/SMCR8/SMYD3/SNX25/SOCS4/SORL1/SPAG9/SPRED1/SPRY2/SPRY4/STAT3/STYXL1/SUZ12/TAF7/TARBP2/TERF2IP/TFAP4/TGFB1/TIPRL/TMED2/TNFAIP3/TRAF3IP1/TRIB2/TRIB3/TSC2/TWIST1/UBASH3B/UCHL1/URI1/VPS25/YWHAB/YWHAE/YWHAG/ZC3H12A/ZGPAT",182
"GO:0001841","GO:0001841","neural tube formation","57/5279","102/16438",5.84984747472805e-07,4.4223420116877e-05,3.68562919203662e-05,"ABL1/ARHGAP35/BBS4/BMP4/BRD2/CASP3/CECR2/CELSR1/CITED2/DEAF1/DLC1/DVL1/DVL2/DVL3/GDF7/GLMN/HECTD1/HIF1A/IFT122/IFT52/KAT2A/KDM2B/LMO4/LRP2/MED12/MIB1/MTHFD1/MTHFD1L/MTHFR/NOG/NPHP3/OPA1/PFN1/PRICKLE1/PRKACA/PRKACB/RARG/RGMA/SCRIB/SDC4/SEMA4C/SETD2/SFRP1/SKI/SOX4/STIL/STK3/STK4/SUFU/TCTN1/TGFB1/TMED2/TRAF6/TSC2/TULP3/TWIST1/VASP",57
"GO:0006413","GO:0006413","translational initiation","62/5279","114/16438",6.90217197264217e-07,5.15500771788058e-05,4.29624096914746e-05,"ABCE1/ALKBH1/CDC123/COPS5/CSDE1/DDX1/DENR/DHX33/EIF1/EIF1AX/EIF1B/EIF2A/EIF2AK1/EIF2AK2/EIF2AK3/EIF2AK4/EIF2B1/EIF2B2/EIF2B4/EIF2B5/EIF2S2/EIF3A/EIF3B/EIF3G/EIF3H/EIF3I/EIF3J/EIF4A2/EIF4B/EIF4EBP2/EIF4G1/EIF4G2/EIF4G3/EIF4H/EIF5/EIF5B/EIF6/FMR1/GLE1/HSPB1/IMPACT/KHDRBS1/LARP1/METTL3/MIF4GD/MTOR/NCBP1/NCK1/PAIP1/PAIP2/PAIP2B/POLR2D/POLR2G/PPP1CA/PPP1R15A/PPP1R15B/RBM4/RPS3A/RPS6KB1/TMED2/YTHDF2/YTHDF3",62
"GO:0071103","GO:0071103","DNA conformation change","98/5279","202/16438",7.99633069043242e-07,5.80366319638786e-05,4.83683768483399e-05,"ABL1/ACIN1/AIFM1/AKAP8/ANP32B/ANXA1/ASF1B/ATRX/BANF1/BEND3/BRD2/BRIP1/CABIN1/CCNB1/CDCA5/CENPV/CENPW/CHAF1A/CHAF1B/CHD2/CHD4/CHD6/CHD7/CHD9/CHMP1A/CHTF8/CTCF/DAXX/DDX1/DFFB/DHX9/DNA2/DNAJC9/ERCC2/ERCC3/ERCC6L/G3BP1/GRWD1/HELB/HELLS/HIRA/HJURP/HMGA1/HMGB1/HMGB2/HP1BP3/IGHMBP2/INCENP/IPO4/MCM2/MCM3/MCM4/MCM6/MCM7/MNAT1/NAP1L1/NAP1L4/NAV2/NBN/NCAPG2/NCAPH/NCAPH2/NOC2L/NUSAP1/PAF1/PHF2/PIF1/PLK1/POT1/PURA/RAD50/RAD54B/RAD54L2/RBBP4/RECQL5/RPA1/RUVBL1/RUVBL2/SART3/SET/SIRT2/SMARCA5/SMARCAD1/SMYD3/SOX9/SPTY2D1/SRPK1/SUPV3L1/SUV39H1/TOP1/TOP2A/TSPYL2/TSPYL4/UBN1/UBN2/WRNIP1/XRCC5/XRCC6",98
"GO:0045936","GO:0045936","negative regulation of phosphate metabolic process","181/5279","418/16438",8.00187134292692e-07,5.80366319638786e-05,4.83683768483399e-05,"ABCA2/ABL1/ADAR/ADARB1/AIDA/AKT1/AKT1S1/ANKLE2/APOC1/ARPP19/ATG14/BAK1/BAX/BDKRB2/BMP2/BMP4/BOD1/C9orf72/CALM1/CALM2/CALM3/CAMK2N1/CASP3/CAV1/CCNB1/CDK5RAP3/CDKN1A/CDKN1C/CDKN2B/CEP85/CHMP6/CNKSR3/CORO1C/CRY2/CSK/CTDSP1/CTDSP2/DAB2IP/DDIT4/DEPTOR/DUSP10/DUSP3/DUSP7/DVL1/EIF4G1/ENSA/EPHB2/FBLN1/FBXO7/FKBP1A/FKBP1B/GADD45A/GADD45B/GBA/GIT1/GNAI2/GNAQ/GPD1L/HEG1/HEXIM1/HIPK3/HNRNPU/HSPB1/HYAL2/IMPACT/INHBA/INPP5J/INPP5K/INSM1/IPO5/IPO7/ITGB1BP1/LATS2/LPCAT1/LRP1/LRP6/MAPT/MASTL/MEN1/MICAL1/MIDN/MLLT1/MTOR/MVP/MYADM/NCAPG2/NCK1/NF2/NNT/NOG/NR2F2/NUPR1/OCLN/PAK2/PARD6A/PARK7/PARP1/PDE4D/PDGFA/PDPK1/PIBF1/PIK3CB/PIK3IP1/PIP4K2B/PIP4K2C/PKIB/PKIG/PKN1/PLEC/PLK1/PPARA/PPARG/PPARGC1A/PPIA/PPM1F/PPP1R11/PPP1R15A/PPP1R15B/PPP1R16B/PPP1R8/PPP1R9B/PPP2CA/PPP2R1A/PPP2R5D/PPP4R4/PPP5C/PRDX3/PRKAR1A/PRKAR1B/PRKAR2A/PRKAR2B/PRR5L/PTPN1/PTPN2/PTPN6/PTPRJ/PWP1/RASSF2/ROCK1/SFN/SFRP1/SH3BP5L/SIRT2/SLC27A1/SLC8A1/SLIT2/SMAD6/SMCR8/SMYD3/SNX25/SOCS4/SORL1/SPAG9/SPRED1/SPRY2/SPRY4/STAT3/STYXL1/SUZ12/TAF7/TARBP2/TERF2IP/TFAP4/TGFB1/TIPRL/TMED2/TNFAIP3/TRAF3IP1/TRIB2/TRIB3/TSC2/TWIST1/UBASH3B/UCHL1/URI1/VPS25/YWHAB/YWHAE/YWHAG/ZC3H12A/ZGPAT",181
"GO:0006405","GO:0006405","RNA export from nucleus","47/5279","80/16438",8.05154113388218e-07,5.80366319638786e-05,4.83683768483399e-05,"ALKBH5/ALYREF/CHTOP/DDX19A/DDX39A/DHX9/ENY2/FYTTD1/GLE1/KHDRBS1/MCM3AP/NCBP1/NOL6/NSUN2/NUP107/NUP133/NUP188/NUP214/NUP85/NUP88/NUP93/NXF1/NXF3/NXT1/PABPN1/PHAX/POLDIP3/POLR2D/POM121/POM121C/POM121L2/RAE1/RAN/RBM15B/SARNP/SETD2/SMG5/SMG6/SMG7/SRSF3/SUPT6H/THOC1/THOC2/THOC7/UPF1/XPO5/ZC3H11A",47
"GO:0032434","GO:0032434","regulation of proteasomal ubiquitin-dependent protein catabolic process","66/5279","124/16438",8.65323553799872e-07,6.06419361415668e-05,5.05396664288484e-05,"AKT1/ANKIB1/ARIH1/ARIH2/BAG6/BCAP31/CAMLG/CAV1/CDC20/CHFR/CLU/CSNK1D/DAB2/DDA1/DVL1/EIF3H/FHIT/FZR1/GBA/GCLC/GLMN/GNA12/GSK3A/HECTD1/HERPUD1/HSP90AB1/HSPA1A/HSPA1B/HSPBP1/KEAP1/MAP1A/MDM2/N4BP1/NKD2/OGT/PARK7/PLK1/PLK2/PLK3/PRICKLE1/PSMD10/RAD23A/RAD23B/RCHY1/RNF14/RNF144A/RYBP/SDCBP/SGTA/SIRT2/SIRT6/SMARCC1/SOCS4/SVIP/TRIB2/TRIB3/UBQLN4/UCHL5/UFL1/USP14/USP5/USP7/VCP/WAC/XPO1/ZER1",66
"GO:1904029","GO:1904029","regulation of cyclin-dependent protein kinase activity","54/5279","96/16438",8.68644423277274e-07,6.06419361415668e-05,5.05396664288484e-05,"ACTB/ADAM17/AKT1/BCCIP/CAMK2N1/CASP3/CCNA2/CCNB1/CCND1/CCND2/CCND3/CCNE1/CCNF/CCNG1/CCNH/CCNI/CCNK/CCNL1/CCNT2/CDC25A/CDC37/CDC6/CDK5R1/CDK5R2/CDK5RAP3/CDKN1A/CDKN1C/CDKN2B/CKS1B/CKS2/CNPPD1/EGFR/FBXO7/GADD45A/GTF2H1/HERC5/HEXIM1/HSP90AB1/IPO5/IPO7/LATS2/MEN1/MNAT1/NR2F2/PKD1/PKMYT1/PLK1/PROX1/PSMD10/PSRC1/SERTAD1/SFN/TFAP4/TNFAIP3",54
"GO:0035148","GO:0035148","tube formation","76/5279","148/16438",8.70645639070729e-07,6.06419361415668e-05,5.05396664288484e-05,"ABL1/ARHGAP35/BBS4/BCAS3/BCL2L11/BMP4/BRD2/CASP3/CECR2/CELSR1/CITED2/CTNNB1/DAB2IP/DEAF1/DLC1/DVL1/DVL2/DVL3/EDA/FGF2/FGFR2/GDF7/GDNF/GLMN/HECTD1/HES5/HIF1A/IFT122/IFT52/ITGB1BP1/KAT2A/KDM2B/LMO4/LRP2/MED12/MIB1/MTHFD1/MTHFD1L/MTHFR/NFIB/NOG/NPHP3/OPA1/PFN1/PIK3CD/PRICKLE1/PRKACA/PRKACB/PROX1/RARG/RGMA/SCRIB/SDC4/SDCCAG8/SEMA4C/SETD2/SFRP1/SIX1/SIX4/SKI/SOX4/SOX8/SOX9/STIL/STK3/STK4/SUFU/TCTN1/TGFB1/TMED2/TRAF6/TSC2/TULP3/TWIST1/VASP/VEGFA",76
